종목코드,종목명,종가,대비,등락률,EPS,PER,선행EPS,선행PER,BPS,PBR,주당배당금,배당수익률
060310,3S,2405,-50,-2.04,33,72.88,-,-,829,2.90,0,0.00
095570,AJ네트웍스,6160,80,1.32,1707,3.61,861,7.16,8075,0.76,270,4.38
006840,AK홀딩스,12000,300,2.56,-,-,-,-,45961,0.26,200,1.67
054620,APS홀딩스,11500,-100,-0.86,1179,9.75,-,-,10088,1.14,100,0.87
265520,AP시스템,17050,0,0.00,3932,4.34,3833,4.45,12713,1.34,240,1.41
211270,AP위성,8920,-30,-0.34,99,90.10,-,-,5714,1.56,70,0.78
027410,BGF,3340,30,0.91,684,4.88,-,-,16393,0.20,110,3.29
282330,BGF리테일,183500,0,0.00,8547,21.47,12710,14.44,46849,3.92,3000,1.63
032790,BNGT,3220,95,3.04,266,12.11,-,-,1508,2.14,0,0.00
138930,BNK금융지주,6410,0,0.00,2341,2.74,2615,2.45,28745,0.22,560,8.74
001460,BYC,368000,-2000,-0.54,35764,10.29,-,-,577324,0.64,1500,0.41
001465,BYC우,137500,-1000,-0.72,-,-,-,-,-,-,1550,1.13
013720,CBI,345,3,0.88,-,-,-,-,137,2.52,0,0.00
001040,CJ,72600,-1300,-1.76,8197,8.86,12947,5.61,151085,0.48,2300,3.17
079160,CJCGV,13900,-200,-1.42,-,-,-,-,5520,2.52,0,0.00
035760,CJENM,73800,-2400,-3.15,9332,7.91,7576,9.74,182220,0.41,2100,2.85
311690,CJ바이오사이언스,26650,0,0.00,-,-,-,-,14957,1.78,0,0.00
00104K,CJ4우(전환),67500,-800,-1.17,-,-,-,-,-,-,2350,3.48
000120,CJ대한통운,85000,-2500,-2.86,1841,46.17,10104,8.41,178766,0.48,0,0.00
011150,CJ씨푸드,2675,-20,-0.74,61,43.85,-,-,1857,1.44,0,0.00
011155,CJ씨푸드1우,26900,550,2.09,-,-,-,-,-,-,0,0.00
001045,CJ우,47150,-450,-0.95,-,-,-,-,-,-,2350,4.98
097950,CJ제일제당,427000,-500,-0.12,38246,11.16,50232,8.50,381542,1.12,5000,1.17
097955,CJ제일제당우,170000,0,0.00,-,-,-,-,-,-,5050,2.97
051500,CJ프레시웨이,32200,-50,-0.16,2245,14.34,5864,5.49,20715,1.55,300,0.93
058820,CMG제약,2085,-65,-3.02,23,90.65,-,-,1330,1.57,0,0.00
023460,CNH,2440,90,3.83,46,53.04,-,-,3826,0.64,20,0.82
056730,CNT85,3100,0,0.00,-,-,-,-,295,10.51,0,0.00
065770,CS,1505,-15,-0.99,-,-,-,-,1099,1.37,0,0.00
083660,CSA코스믹,1090,-10,-0.91,-,-,-,-,390,2.79,0,0.00
000590,CS홀딩스,56900,700,1.25,12789,4.45,-,-,226165,0.25,500,0.88
012030,DB,767,6,0.79,114,6.73,-,-,2292,0.33,0,0.00
404950,DB금융스팩10호,2005,0,0.00,-,-,-,-,-,-,0,0.00
367340,DB금융스팩8호,2015,0,0.00,-,-,-,-,-,-,0,0.00
367360,DB금융스팩9호,2025,-25,-1.22,-,-,-,-,-,-,0,0.00
016610,DB금융투자,4030,-30,-0.74,2831,1.42,-,-,22133,0.18,500,12.41
005830,DB손해보험,56300,-1300,-2.26,14482,3.89,11963,4.71,110605,0.51,3500,6.22
000990,DB하이텍,43000,-150,-0.35,7292,5.90,9871,4.36,25449,1.69,450,1.05
000995,DB하이텍1우,97200,600,0.62,-,-,-,-,-,-,500,0.51
139130,DGB금융지주,6710,-30,-0.45,2886,2.33,2961,2.27,32507,0.21,630,9.39
001530,DI동일,16150,350,2.22,2234,7.23,-,-,29290,0.55,200,1.24
000210,DL,61700,-1000,-1.59,41881,1.47,16950,3.64,173922,0.35,1900,3.08
001880,DL건설,13650,100,0.74,7911,1.73,5241,2.60,41105,0.33,750,5.49
000215,DL우,35100,-650,-1.82,-,-,-,-,-,-,1950,5.56
375500,DL이앤씨,35900,200,0.56,26903,1.33,11313,3.17,194338,0.18,2700,7.52
37550L,DL이앤씨2우(전환),27400,-100,-0.36,-,-,-,-,-,-,0,0.00
37550K,DL이앤씨우,22700,-300,-1.30,-,-,-,-,-,-,2750,12.11
068790,DMS,4725,5,0.11,1354,3.49,-,-,10824,0.44,100,2.12
007340,DN오토모티브,58500,-1800,-2.99,9379,6.24,-,-,82507,0.71,2000,3.42
004840,DRB동일,4110,-35,-0.84,-,-,-,-,18916,0.22,30,0.73
241520,DSC인베스트먼트,4110,5,0.12,582,7.06,-,-,2762,1.49,0,0.00
155660,DSR,4875,70,1.46,768,6.35,-,-,10991,0.44,50,1.03
069730,DSR제강,4700,10,0.21,529,8.88,-,-,10683,0.44,40,0.85
017940,E1,43000,200,0.47,22789,1.89,-,-,226210,0.19,2200,5.12
245620,EDGC,2050,-15,-0.73,-,-,-,-,712,2.88,0,0.00
037370,EG,7320,-20,-0.27,622,11.77,-,-,7528,0.97,0,0.00
050120,ES큐브,3990,-35,-0.87,670,5.96,-,-,6347,0.63,0,0.00
084180,EV수성,1660,110,7.10,-,-,-,-,579,2.87,0,0.00
383220,F&F,143000,-3500,-2.39,6061,23.59,13887,10.30,14307,10.00,1100,0.77
007700,F&F홀딩스,14050,-200,-1.40,88031,0.16,-,-,49495,0.28,170,1.21
214270,FSN,3950,0,0.00,4,987.50,-,-,3885,1.02,0,0.00
130500,GH신소재,3855,-20,-0.52,201,19.18,-,-,4636,0.83,0,0.00
114090,GKL,14550,100,0.69,-,-,1171,12.43,6201,2.35,0,0.00
078930,GS,46100,-300,-0.65,15304,3.01,18055,2.55,108672,0.42,2000,4.34
083450,GST,19700,-200,-1.01,4292,4.59,5138,3.83,16558,1.19,300,1.52
006360,GS건설,22250,-350,-1.55,4834,4.60,5728,3.88,54487,0.41,1300,5.84
001250,GS글로벌,2775,35,1.28,283,9.81,-,-,4013,0.69,0,0.00
007070,GS리테일,26350,300,1.15,9096,2.90,1860,14.17,39822,0.66,1200,4.55
078935,GS우,35100,0,0.00,-,-,-,-,-,-,2050,5.84
297890,HB솔루션,13300,-300,-2.21,509,26.13,-,-,6224,2.14,0,0.00
078150,HB테크놀러지,1840,20,1.10,151,12.19,-,-,2364,0.78,20,1.09
012630,HDC,5650,-30,-0.53,2069,2.73,-,-,43552,0.13,250,4.42
039570,HDC랩스,7520,-80,-1.05,593,12.68,-,-,11102,0.68,450,5.98
089470,HDC현대EP,3880,-25,-0.64,356,10.90,-,-,10379,0.37,140,3.61
294870,HDC현대산업개발,10100,-100,-0.98,2679,3.77,-,-,43665,0.23,600,5.94
