종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
060310,3S ,"2,405",-50,-2.04,33,72.88,-,-,829,2.90,0,0.00
095570,AJ네트웍스 ,"6,160",80,1.32,"1,707",3.61,861,7.16,"8,075",0.76,270,4.38
006840,AK홀딩스 ,"12,000",300,2.56,-,-,-,-,"45,961",0.26,200,1.67
054620,APS홀딩스 ,"11,500",-100,-0.86,"1,179",9.75,-,-,"10,088",1.14,100,0.87
265520,AP시스템 ,"17,050",0,0.00,"3,932",4.34,"3,833",4.45,"12,713",1.34,240,1.41
211270,AP위성 ,"8,920",-30,-0.34,99,90.10,-,-,"5,714",1.56,70,0.78
027410,BGF ,"3,340",30,0.91,684,4.88,-,-,"16,393",0.20,110,3.29
282330,BGF리테일 ,"183,500",0,0.00,"8,547",21.47,"12,710",14.44,"46,849",3.92,"3,000",1.63
032790,BNGT ,"3,220",95,3.04,266,12.11,-,-,"1,508",2.14,0,0.00
138930,BNK금융지주 ,"6,410",0,0.00,"2,341",2.74,"2,615",2.45,"28,745",0.22,560,8.74
001460,BYC ,"368,000","-2,000",-0.54,"35,764",10.29,-,-,"577,324",0.64,"1,500",0.41
001465,BYC우 ,"137,500","-1,000",-0.72,-,-,-,-,-,-,"1,550",1.13
013720,CBI ,345,3,0.88,-,-,-,-,137,2.52,0,0.00
001040,CJ ,"72,600","-1,300",-1.76,"8,197",8.86,"12,947",5.61,"151,085",0.48,"2,300",3.17
079160,CJ CGV ,"13,900",-200,-1.42,-,-,-,-,"5,520",2.52,0,0.00
035760,CJ ENM ,"73,800","-2,400",-3.15,"9,332",7.91,"7,576",9.74,"182,220",0.41,"2,100",2.85
311690,CJ 바이오사이언스 ,"26,650",0,0.00,-,-,-,-,"14,957",1.78,0,0.00
00104K,CJ4우(전환) ,"67,500",-800,-1.17,-,-,-,-,-,-,"2,350",3.48
000120,CJ대한통운 ,"85,000","-2,500",-2.86,"1,841",46.17,"10,104",8.41,"178,766",0.48,0,0.00
011150,CJ씨푸드 ,"2,675",-20,-0.74,61,43.85,-,-,"1,857",1.44,0,0.00
011155,CJ씨푸드1우 ,"26,900",550,2.09,-,-,-,-,-,-,0,0.00
001045,CJ우 ,"47,150",-450,-0.95,-,-,-,-,-,-,"2,350",4.98
097950,CJ제일제당 ,"427,000",-500,-0.12,"38,246",11.16,"50,232",8.50,"381,542",1.12,"5,000",1.17
097955,CJ제일제당 우 ,"170,000",0,0.00,-,-,-,-,-,-,"5,050",2.97
051500,CJ프레시웨이 ,"32,200",-50,-0.16,"2,245",14.34,"5,864",5.49,"20,715",1.55,300,0.93
058820,CMG제약 ,"2,085",-65,-3.02,23,90.65,-,-,"1,330",1.57,0,0.00
023460,CNH ,"2,440",90,3.83,46,53.04,-,-,"3,826",0.64,20,0.82
056730,CNT85 ,"3,100",0,0.00,-,-,-,-,295,10.51,0,0.00
065770,CS ,"1,505",-15,-0.99,-,-,-,-,"1,099",1.37,0,0.00
083660,CSA 코스믹 ,"1,090",-10,-0.91,-,-,-,-,390,2.79,0,0.00
000590,CS홀딩스 ,"56,900",700,1.25,"12,789",4.45,-,-,"226,165",0.25,500,0.88
012030,DB ,767,6,0.79,114,6.73,-,-,"2,292",0.33,0,0.00
404950,DB금융스팩10호 ,"2,005",0,0.00,-,-,-,-,-,-,0,0.00
367340,DB금융스팩8호 ,"2,015",0,0.00,-,-,-,-,-,-,0,0.00
367360,DB금융스팩9호 ,"2,025",-25,-1.22,-,-,-,-,-,-,0,0.00
016610,DB금융투자 ,"4,030",-30,-0.74,"2,831",1.42,-,-,"22,133",0.18,500,12.41
005830,DB손해보험 ,"56,300","-1,300",-2.26,"14,482",3.89,"11,963",4.71,"110,605",0.51,"3,500",6.22
000990,DB하이텍 ,"43,000",-150,-0.35,"7,292",5.90,"9,871",4.36,"25,449",1.69,450,1.05
000995,DB하이텍1우 ,"97,200",600,0.62,-,-,-,-,-,-,500,0.51
139130,DGB금융지주 ,"6,710",-30,-0.45,"2,886",2.33,"2,961",2.27,"32,507",0.21,630,9.39
001530,DI동일 ,"16,150",350,2.22,"2,234",7.23,-,-,"29,290",0.55,200,1.24
000210,DL ,"61,700","-1,000",-1.59,"41,881",1.47,"16,950",3.64,"173,922",0.35,"1,900",3.08
001880,DL건설 ,"13,650",100,0.74,"7,911",1.73,"5,241",2.60,"41,105",0.33,750,5.49
000215,DL우 ,"35,100",-650,-1.82,-,-,-,-,-,-,"1,950",5.56
375500,DL이앤씨 ,"35,900",200,0.56,"26,903",1.33,"11,313",3.17,"194,338",0.18,"2,700",7.52
37550L,DL이앤씨2우(전환) ,"27,400",-100,-0.36,-,-,-,-,-,-,0,0.00
37550K,DL이앤씨우 ,"22,700",-300,-1.30,-,-,-,-,-,-,"2,750",12.11
068790,DMS ,"4,725",5,0.11,"1,354",3.49,-,-,"10,824",0.44,100,2.12
007340,DN오토모티브 ,"58,500","-1,800",-2.99,"9,379",6.24,-,-,"82,507",0.71,"2,000",3.42
004840,DRB동일 ,"4,110",-35,-0.84,-,-,-,-,"18,916",0.22,30,0.73
241520,DSC인베스트먼트 ,"4,110",5,0.12,582,7.06,-,-,"2,762",1.49,0,0.00
155660,DSR ,"4,875",70,1.46,768,6.35,-,-,"10,991",0.44,50,1.03
069730,DSR제강 ,"4,700",10,0.21,529,8.88,-,-,"10,683",0.44,40,0.85
017940,E1 ,"43,000",200,0.47,"22,789",1.89,-,-,"226,210",0.19,"2,200",5.12
245620,EDGC ,"2,050",-15,-0.73,-,-,-,-,712,2.88,0,0.00
037370,EG ,"7,320",-20,-0.27,622,11.77,-,-,"7,528",0.97,0,0.00
050120,ES큐브 ,"3,990",-35,-0.87,670,5.96,-,-,"6,347",0.63,0,0.00
084180,EV수성 ,"1,660",110,7.10,-,-,-,-,579,2.87,0,0.00
383220,F&F ,"143,000","-3,500",-2.39,"6,061",23.59,"13,887",10.30,"14,307",10.00,"1,100",0.77
007700,F&F홀딩스 ,"14,050",-200,-1.40,"88,031",0.16,-,-,"49,495",0.28,170,1.21
214270,FSN ,"3,950",0,0.00,4,987.50,-,-,"3,885",1.02,0,0.00
130500,GH신소재 ,"3,855",-20,-0.52,201,19.18,-,-,"4,636",0.83,0,0.00
114090,GKL ,"14,550",100,0.69,-,-,"1,171",12.43,"6,201",2.35,0,0.00
078930,GS ,"46,100",-300,-0.65,"15,304",3.01,"18,055",2.55,"108,672",0.42,"2,000",4.34
